bloco	tipo	trat	prod
3	teste	451	76.6
3	teste	452	82
3	teste	453	51.6
3	teste	454	80
3	TR	91	58
3	TR	92	64.2
3	TR	93	63.2
3	TR	94	52.8
3	TR	95	87.4
3	TR	96	55.4
3	TR	97	65
3	TR	98	72.2
3	TR	99	76
3	TR	100	68.8
3	TR	101	68.4
3	TR	102	78.2
3	TR	103	91.8
3	TR	104	118.2
3	TR	105	114.4
3	TR	106	96.4
3	TR	107	63.4
3	TR	108	54
3	TR	109	47.8
3	TR	110	75.4
3	TR	111	76.6
3	TR	112	81.2
3	TR	113	64.8
3	TR	114	66.8
3	TR	115	59.2
3	TR	116	46
3	TR	117	91.8
3	TR	118	87
3	TR	119	89.4
3	TR	120	87.8
3	TR	121	47.6
3	TR	122	65.4
3	TR	123	54.2
3	TR	124	57.4
3	TR	125	73.6
3	TR	126	104.8
3	TR	127	66
3	TR	128	71.8
3	TR	129	71.8
3	TR	130	110.6
3	TR	131	111
3	TR	132	114
3	TR	133	107.4
3	TR	134	115.2
3	TR	135	68.2
3	TR	136	73.2
4	teste	451	94.8
4	teste	452	94.2
4	teste	453	57
4	teste	454	69.8
4	TR	137	72.6
4	TR	138	69.8
4	TR	139	72.8
4	TR	140	72.8
4	TR	141	81.6
4	TR	142	79.2
4	TR	143	84.4
4	TR	144	82.4
4	TR	145	84.4
4	TR	146	77.6
4	TR	147	72.8
4	TR	148	82.6
4	TR	149	73.6
4	TR	150	82.8
4	TR	151	84.6
4	TR	152	89.4
4	TR	153	70.8
4	TR	154	83.2
4	TR	155	75.4
4	TR	156	85
4	TR	157	69.6
4	TR	158	74.6
4	TR	159	79.2
4	TR	160	84
4	TR	161	81.8
4	TR	162	82.6
4	TR	163	79
4	TR	164	73.8
4	TR	165	76.2
4	TR	166	107.2
4	TR	167	102.2
4	TR	168	80.8
4	TR	169	71.6
4	TR	170	81.4
4	TR	171	73.6
4	TR	172	72.4
4	TR	173	75
4	TR	174	80.2
4	TR	175	70.8
4	TR	176	81.8
4	TR	177	85.6
4	TR	178	80.8
4	TR	179	80
4	TR	180	77
4	TR	181	86.6
4	TR	182	66.8
5	teste	451	94
5	teste	452	82.8
5	teste	453	83.8
5	teste	454	78.8
5	TR	183	87.6
5	TR	184	84.8
5	TR	185	89
5	TR	186	80.6
5	TR	187	83.2
5	TR	188	71.2
5	TR	189	85
5	TR	190	86.8
5	TR	191	83.2
5	TR	192	85.2
5	TR	193	60.8
5	TR	194	55.4
5	TR	195	57.4
5	TR	196	60.2
5	TR	197	84.4
5	TR	198	90.6
5	TR	199	87.2
5	TR	200	96
5	TR	201	86.6
5	TR	202	87.4
5	TR	203	83.2
5	TR	204	89.2
5	TR	205	85.6
5	TR	206	86.2
5	TR	207	88.2
5	TR	208	86.2
5	TR	209	83.6
5	TR	210	74.2
5	TR	211	71
5	TR	212	73.2
5	TR	213	68.4
5	TR	214	70
5	TR	215	70.6
5	TR	216	69.2
5	TR	217	75
5	TR	218	75.6
5	TR	219	91.8
5	TR	220	90.2
5	TR	221	93
5	TR	222	53.2
5	TR	223	56.2
5	TR	224	74
5	TR	225	71.8
5	TR	226	97.6
5	TR	227	98.6
5	TR	228	86.8
6	teste	451	88.6
6	teste	452	90
6	teste	453	58.2
6	teste	454	86.4
6	TR	229	77.4
6	TR	230	84
6	TR	231	58.8
6	TR	232	57
6	TR	233	59.2
6	TR	234	68.2
6	TR	235	98.4
6	TR	236	102.6
6	TR	237	106
6	TR	238	92
6	TR	239	78.4
6	TR	240	89.25
6	TR	241	94.8
6	TR	242	101.4
6	TR	243	83.8
6	TR	244	78.2
6	TR	245	79
6	TR	246	73.6
6	TR	247	79.6
6	TR	248	74.8
6	TR	249	64.6
6	TR	250	80.8
6	TR	251	80
6	TR	252	72
6	TR	253	68
6	TR	254	78.8
6	TR	255	75.6
6	TR	256	57.4
6	TR	257	44
6	TR	258	56
6	TR	259	53.6
6	TR	260	76.4
6	TR	261	102.8
6	TR	262	93.4
6	TR	263	84.2
6	TR	264	77.8
6	TR	265	81.8
6	TR	266	92.4
6	TR	267	91.2
6	TR	268	89.4
6	TR	269	79.2
6	TR	270	83
6	TR	271	87.6
6	TR	272	79.4
6	TR	273	82.2
6	TR	274	75.4
7	teste	451	98.2
7	teste	452	83.2
7	teste	453	48.8
7	teste	454	79.8
7	TR	275	72.8
7	TR	276	74.2
7	TR	277	68.4
7	TR	278	75.6
7	TR	279	83.8
7	TR	280	65.6
7	TR	281	75
7	TR	282	82.2
7	TR	283	64.8
7	TR	284	75.6
7	TR	285	70
7	TR	286	64.8
7	TR	287	60.4
7	TR	288	66.2
7	TR	289	66.4
7	TR	290	65.4
7	TR	291	87.4
7	TR	292	92.4
7	TR	293	100.8
7	TR	294	70.4
7	TR	295	67.8
7	TR	296	73.2
7	TR	297	80.6
7	TR	298	115.2
7	TR	299	112.8
7	TR	300	122
7	TR	301	81.6
7	TR	302	75
7	TR	303	91.4
7	TR	304	87.2
7	TR	305	95.6
7	TR	306	98
7	TR	307	97.2
7	TR	308	101.2
7	TR	309	90.2
7	TR	310	77.6
7	TR	311	49.8
7	TR	312	66.2
7	TR	313	55
7	TR	314	63
7	TR	315	62.4
7	TR	316	72
7	TR	317	85.4
7	TR	318	92.2
7	TR	319	89.4
7	TR	320	87.8
8	teste	451	88.4
8	teste	452	94.4
8	teste	453	47.2
8	teste	454	66.8
8	TR	321	78.4
8	TR	322	82
8	TR	323	76.6
8	TR	324	88.2
8	TR	325	76.2
8	TR	326	79.8
8	TR	327	58.8
8	TR	328	83.6
8	TR	329	75.4
8	TR	330	64.4
8	TR	331	43.6
8	TR	332	43
8	TR	333	47.8
8	TR	334	41
8	TR	335	72.4
8	TR	336	63.2
8	TR	337	73.4
8	TR	338	69
8	TR	339	77.2
8	TR	340	64.2
8	TR	341	71
8	TR	342	69.6
8	TR	343	67.8
8	TR	344	63
8	TR	345	62.4
8	TR	346	67.2
8	TR	347	64.6
8	TR	348	93
8	TR	349	93.4
8	TR	350	73.8
8	TR	351	74.6
8	TR	352	97.4
8	TR	353	84.8
8	TR	354	104
8	TR	355	88.4
8	TR	356	78.6
8	TR	357	75.2
8	TR	358	73.6
8	TR	359	73.4
8	TR	360	74.8
8	TR	361	76
8	TR	362	72.4
8	TR	363	43.6
8	TR	364	93.4
8	TR	365	82.6
8	TR	366	81.4
9	teste	451	73.2
9	teste	452	78.6
9	teste	453	54
9	teste	454	68
9	TR	367	83.2
9	TR	368	57.2
9	TR	369	86
9	TR	370	67.6
9	TR	371	71.6
9	TR	372	68.4
9	TR	373	97.6
9	TR	374	87
9	TR	375	63.4
9	TR	376	62
9	TR	377	56
9	TR	378	52.6
9	TR	379	62.2
9	TR	380	63.6
9	TR	381	67.2
9	TR	382	55.8
9	TR	383	58.4
9	TR	384	74.6
9	TR	385	72.8
9	TR	386	70
9	TR	387	70.4
9	TR	388	63.2
9	TR	389	73
9	TR	390	91.8
9	TR	391	69.8
9	TR	392	86.6
9	TR	393	74.2
9	TR	394	83
9	TR	395	79.8
9	TR	396	79.4
9	TR	397	77.2
9	TR	398	49.8
9	TR	399	46.2
9	TR	400	43.4
9	TR	401	35.6
9	TR	402	36.8
9	TR	403	54.4
9	TR	404	57.4
9	TR	405	52
9	TR	406	54.2
9	TR	407	49.4
9	TR	408	46.8
9	TR	409	57.2
9	TR	410	49
10	teste	451	70.2
10	teste	452	77
10	teste	453	54.4
10	teste	454	61.6
10	TR	411	46.4
10	TR	412	51.4
10	TR	413	47.8
10	TR	414	50.2
10	TR	415	47.6
10	TR	416	47
10	TR	417	74
10	TR	418	77
10	TR	419	74.2
10	TR	420	71.8
10	TR	421	50.8
10	TR	422	63.8
10	TR	423	78.8
10	TR	424	72.4
10	TR	425	71.4
10	TR	426	82.8
10	TR	427	88.2
10	TR	428	85.8
10	TR	429	80.8
10	TR	430	82.2
10	TR	431	102.8
10	TR	432	103
10	TR	433	80.6
10	TR	434	85.8
10	TR	435	81.2
10	TR	436	86.6
10	TR	437	77.6
10	TR	438	64.4
10	TR	439	58.6
10	TR	440	73.8
10	TR	441	72.4
10	TR	442	60.6
10	TR	443	57
10	TR	444	46.4
10	TR	445	42.8
10	TR	446	44
10	TR	447	43.4
10	TR	448	47.8
10	TR	449	53
10	TR	450	57.2
